surah,ayat,terjemahan_lemmatized
4,40,allah aniaya zarrah kebaji zarrah allah lipat ganda sisi nya pahala
4,41,hal kafir saksi rasul umat muhammad saksi umat
4,42,kafir durhaka rasul disamaratakan tanah sembunyi allah jadi
4,43,iman shalat mabuk erti ucap hampir mesjid junub kecuali dar mandi sakit musafir buang air sentuh perempuan air tayamum tanah suci sapu muka tangan allah maaf kam
4,44,bahagian al kitab taurat beli pilih sesat tunjuk sesat simpang jalan
4,45,allah musuh musuh allah lindung bagi allah tolong bagi
4,46,yahudi ubah kata tempat dengar turut dengar dengar raaina putar mutar lidah cela agama dengar dengar perhati allah kutuk kafir iman kecuali iman tipis
4,47,al kitab rim turun al quran benar kitab ubah muka putar kutuk kutuk buat maksiat sabtu tetap allah laku
4,48,allah ampun dosa syirik ampun dosa syirik hendak nya sekutu allah buat dosa
4,49,perhati anggap bersih allah bersih hendak nya aniaya sedikit
4,50,perhati betapa ada adakan dusta allah buat dosa nyata
4,51,perhati bahagian al kitab percaya jibt thaghut kafir musyrik mekah jalan iman
4,52,tuk allah tuk allah kali oleh tolong bagi
4,53,bahagian raja kuasa kendati sedikit kebaji manusia
4,54,dengki manusia muhammad lantar karunia allah kitab hikmah ibrahim raja
4,55,dengki iman halang manusia iman nyala nyala api
4,56,kafir ayat ayat kelak masuk neraka kali kulit hangus ganti kulit kulit rasa azab allah perkasa bijaksana
4,57,iman amal amal shaleh kelak masuk surga dalam alir sungai sungai kekal dalam dalam isteri isteri suci masuk teduh nyaman
4,58,allah suruh amanat hak terima suruh tetap hukum manusia tetap adil allah ajar baik kepada allah dengar
4,59,iman taat allah taat rasul nya ulil amri dapat kembali allah al quran rasul sunnahnya iman allah utama bagi akibat
4,60,perhati aku iman turun kepada turun hakim thaghut perintah ingkar thaghut syaitan sesat sesat jauh
4,61,mari tunduk hukum allah turun hukum rasul munafik halang manusia kuat kuat dekat
4,62,hal munafik timpa musibah sebab buat tangan kepada sumpah allah kali selesai damai sempurna
4,63,allah hati paling ilah ajar kata bekas jiwa
4,64,utus rasul taat izin allah aniaya kepada mohon ampun allah rasul mohon ampun dapat allah terima taubat sayang
4,65,tuhan hakekatnya iman jadi hakim perkara selisih hati berat putus terima sepenuh
4,66,perintah bunuh diri keluar kampung laku kecuali laksana ajar kuat iman
4,67,pahala sisi
4,68,tunjuk jalan lurus
4,69,taat allah rasul anugerah nikmat allah nabi nabi shiddiiqiin mati syahid saleh teman baik
4,70,karunia allah allah
4,71,iman siaga maju medan tempur kelompok kelompok maju
4,72,lambat lambat medan tempur timpa musibah tuhan anugerah nikmat perang
4,73,oleh karunia menang allah hubung kasih sayang menang
4,74,tukar hidup dunia hidup akhirat perang jalan allah perang jalan allah gugur oleh menang kelak pahala
4,75,perang jalan allah bela lemah laki laki wanita wanita anak anak doa ya tuhan keluar negeri mekah zalim duduk ilah lindung sisi engkau ilah tolong sisi engkau
4,76,iman perang jalan allah kafir perang jalan thaghut perang kawan kawan syaitan tipu daya syaitan lemah
4,77,perhati tahan tangan perang diri sembahyang tunai zakat wajib perang golong munafik takut manusia musuh takut allah takut ya tuhan engkau wajib perang engkau tangguh wajib perang senang dunia sebentar akhirat takwa aniaya sedikit
4,78,mati kendati benteng kokoh oleh baik sisi allah timpa bencana datang sisi muhammad sisi allah munafik paham bicara sedikit
4,79,nikmat oleh allah bencana timpa salah diri utus rasul segenap manusia allah saksi
4,80,taat rasul taat allah paling taat utus pelihara
4,81,munafik wajib taat sisi atur siasat malam ambil putus allah tulis siasat atur malam paling tawakal allah allah lindung
4,82,perhati al quran al quran sisi allah tentang dalam
4,83,berita aman takut siar serah rasul ulil amri benar tahu rasul ulil amri karunia rahmat allah ikut syaitan kecuali antara
4,84,rang jalan allah beban wajib kobar semangat mukmin perang mudah mudah allah tolak serang kafir allah kuat keras siksa
4,85,syafaat oleh bahagian pahala syafaat buruk pikul bahagian dosa allah kuasa
4,86,hormat hormat balas hormat balas hormat allah memperhitungankan
4,87,allah tuhan hak sembah kumpul kiamat ragu kata allah
4,88,pecah golong hadap munafik allah balik kafir sebab usaha tunjuk sesat allah sesat allah kali jalan tunjuk
4,89,kafir kafir jadi tolong tolong hijrah jalan allah paling tawan bunuh temu orang lindung tolong
4,90,kecuali lindung kaum kaum janji damai hati berat rang rang kaum allah kuasa merang biar rang muka damai kepada allah jalan bagi tawan bunuh
4,91,kelak dapat golong golong aman aman kaum ajak fitnah syirik mereka terjun dalam biar muka damai kepada tahan tangan merang tawan bunuh kepada alas nyata tawan bunuh
4,92,layak mukmin bunuh mukmin kecuali salah sengaja bunuh mukmin salah merdeka sahaya iman bayar diat serah keluarga si bunuh kecuali bunuh sedekah si bunuh kaum kafir janji damai si bunuh bayar diat serah keluarga si bunuh merdeka sahaya iman oleh si bunuh puasa terima taubat allah allah bijaksana
4,93,bunuh mukmin sengaja balas kekal dalam allah murka kutuk sedia azab bagi
4,94,iman perang jalan allah teliti salam kepada mukmin bunuh maksud cari harta benda hidup dunia sisi allah harta juga allah anugerah nikmat nya teliti allah kerja
4,95,mukmin duduk perang uzur jihad jalan allah harta jiwa allah lebih jihad harta jiwa duduk derajat allah janji pahala surga allah lebih jihad duduk pahala
4,96,derajat nya ampun rahmat allah kam sayang
4,97,wafat malaikat aniaya malaikat tindas negeri mekah malaikat bumi allah luas hijrah bumi tempat neraka buruk buruk
4,98,kecuali tindas laki laki wanita anak anak daya upaya jalan hijrah
4,99,mudah mudah allah maaf allah maaf kam
4,100,hijrah jalan allah dapat bumi hijrah luas rezeki rumah maksud hijrah allah rasul nya mati timpa tuju pahala sisi allah allah kam sayang
4,101,pergi bumi men qashar sembahyang takut serang kafir kafir musuh nyata bagi
4,102,sahabat diri shalat golong diri shalat serta sandang senjata shalat serta sujud sempurna rakaat pindah belakang hadap musuh golong sembahyang sembahyang dengan siaga sandang senjata kafir lengah senjata harta benda serbu dosa atas letak senjata senjata susah hujan sakit siaga allah sedia azab hina kafir
4,103,selesai shalatmu ingat allah diri duduk baring aman diri shalat shalat fardhu tentu iman
4,104,hati lemah kejar musuh derita sakit mereka derita sakit derita harap allah harap allah bijaksana
4,105,turun kitab kepada bawa benar adil manusia allah wahyu kepada tantang salah bela khianat
4,106,mohon ampun allah allah kam sayang
4,107,debat bela khianat allah suka khianat gelimang dosa
4,108,sembunyi manusia sembunyi allah allah serta malam tetap putus rahasia allah redlai allah liput ilmu nya kerja
4,109,debat bela hidup dunia debat allah bela kiamat lindung siksa allah
4,110,jahat aniaya mohon ampun allah dapat allah kam sayang
4,111,dosa kerja kemudharatan allah bijaksana
4,112,salah dosa tuduh salah buat bohong dosa nyata
4,113,karunia allah rahmat nya kepada golong keras sesat sesat bahaya sedikit kepada allah turun kitab hikmah kepada ajar kepada tahu karunia allah atas
4,114,baik banyak bisik bisik kecuali bisik bisik suruh manusia sedekah buat maruf ada damai manusia buat cari keridhaan allah kelak pahala
4,115,tentang rasul benar bagi ikut jalan jalan mukmin biar leluasa sesat kuasa masuk buruk buruk
4,116,allah ampun dosa sekutu ampun dosa syirik hendak nya sekutu allah sesat jauh
4,117,sembah allah berhala sembah berhala sembah syaitan durhaka
4,118,laknat allah syaitan ambil engkau bahagian tentu
4,119,sesat bangkit angan angan kosong suruh potong telinga telinga binatang ternak potong suruh ubah cipta allah meubahnya jadi syaitan lindung allah derita rugi nyata
4,120,syaitan janji janji bangkit angan angan kosong syaitan janji tipu belaka
4,121,tempat oleh lari
4,122,iman amal saleh kelak masuk surga alir sungai sungai dalam kekal dalam allah janji kata allah
4,123,pahala allah angan angan kosong angan angan ahli kitab jahat balas jahat lindung tolong bagi allah
4,124,amal amal saleh laki laki wanita iman masuk surga aniaya sedikit
4,125,agama ikhlas serah allah dia baik ikut agama ibrahim lurus allah ambil ibrahim sayang nya
4,126,punya allah langit bumi tahu allah liput
4,127,fatwa kepada wanita allah fatwa kepada baca kepada al quran fatwa wanita yatim tetap awin anak anak pandang lemah allah suruh urus anak anak yatim adil kebaji kerja allah tahu
4,128,wanita khawatir nusyuz sikap acuh suami ada damai benar benar damai manusia tabiat kikir gaul isterimu pelihara diri nusyuz sikap acuh allah kerja
4,129,kali laku adil isteri isterimu buat cenderung cinta biar katung katung ada baik pelihara curang allah kam sayang
4,130,cerai allah cukup masingnya limpah karunia nya allah luas karunia nya bijaksana
4,131,punya allah langit bumi perintah kitab takwa allah kafir tahu langit bumi punya allah allah kaya puji
4,132,punya allah langit bumi allah pelihara
4,133,allah musnah manusia datang umat ganti allah kuasa buat
4,134,pahala dunia rugi sisi allah pahala dunia akhirat allah dengar
4,135,iman tegak adil saksi allah biarpun diri bapa kaum kerabat kaya miskin allah maslahat ikut hawa nafsu simpang benar putar balik enggan saksi allah kerja
4,136,iman tetap iman allah rasul nya kitab allah turun rasul nya kitab allah turun kafir allah malaikat malaikat nya kitab kitab nya rasul rasul nya sesat jauh
4,137,iman kafir iman kamudian kafir tambah kafir kali allah ampun jalan lurus
4,138,kabar munafik siksa pedih
4,139,ambil kafir teman teman tolong tinggal mukmin cari kuat sisi kafir kuat punya allah
4,140,allah turun kuat al quran dengar ayat ayat allah ingkar olok olok kafir duduk serta pasuk bicara buat allah kumpul munafik kafir
4,141,tunggu nunggu peristiwa diri mukmin bagi menang allah perang serta kafir untung menang menang bela mukmin allah putus kiamat allah kali jalan kafir musnah iman
4,142,munafik tipu allah allah balas tipu diri shalat diri malas riya shalat hadap manusia sebut allah kecuali
4,143,ragu ragu iman kafir masuk golong iman golong kafir kali jalan tunjuk bagi
4,144,iman ambil kafir wali tinggal mukmin ada alas nyata allah siksa
4,145,munafik tempat tingkat neraka kali tolong
4,146,kecuali taubat ada baik pegang teguh agama allah tulus ikhlas agama allah iman kelak allah iman pahala
4,147,allah siksa syukur iman allah syukur
4,148,allah suka ucap buruk terang kecuali aniaya allah dengar
4,149,lahir baik sembunyi maaf salah allah maaf kuasa
4,150,kafir allah rasul rasul nya beda iman allah rasul rasul nya iman kafir kata ambil jalan iman kafir
4,151,kafir benar benar sedia kafir siksa hina
4,152,iman allah rasul nya beda beda orang kelak allah pahala allah kam sayang
4,153,ahli kitab kepada turun kitab langit musa lihat allah nyata sambar petir zalim sembah anak sapi bukti bukti nyata maaf musa terang nyata
4,154,angkat kepala bukit thursina terima janji perintah masuk pintu gerbang sujud perintah langgar atur sabtu ambil janji kokoh
4,155,laku tindak sebab langgar janji kafir terang terang allah bunuh nabi nabi alas hati tutup allah kunci mati hati kafir iman kecuali
4,156,kafir isa tuduh maryam dusta zina
4,157,ucap bunuh al isa putra maryam rasul allah bunuh salib bunuh rupa isa selisih paham bunuh isa ragu ragu bunuh yakin bunuh kecuali ikut sangka belaka bunuh isa
4,158,allah angkat isa nya allah perkasa bijaksana
4,159,orang ahli kitab kecuali iman isa mati kiamat isa saksi
4,160,sebab zalim yahudi haram makan makan dahulu halal halang manusia jalan allah
4,161,sebab makan riba larang daripada makan harta benda jalan batil sedia kafir siksa pedih
4,162,dalam ilmu mukmin iman turun kepada al quran turun belum diri shalat tunai zakat iman allah pahala
4,163,wahyu kepada wahyu nuh nabi nabi kemudian wahyu ibrahim ismail ishak yaqub anak cucu isa ayyub yunus harun sulaiman zabur daud
4,164,utus rasul rasul kisah kepada rasul rasul kisah kepada allah bicara musa langsung
4,165,utus rasul rasul bawa berita gembira beri ingat alas manusia ban allah utus rasul rasul allah perkasa bijaksana
4,166,aku turun kepada allah aku al quran turun nya kepada allah turun ilmu nya malaikat malaikat saksi allah aku
4,167,kafir halang halang manusia jalan allah sesat jauh
4,168,kafir zalim allah kali ampun dosa jalan
4,169,kecuali jalan neraka kekal dalam mudah allah
4,170,manusia rasul muhammad kepada bawa benar tuhan rim bagi kafir kafir rugi allah sedikit langit bumi punya allah allah bijaksana
4,171,ahli kitab lampau batas agama allah kecuali al isa putera maryam utus allah cipta kalimat nya nya maryam tiup roh nya rim allah rasul rasul nya tuhan henti ucap bagi allah tuhan esa suci allah anak langit bumi punya nya allah pelihara
4,172,al kali enggan allah enggan malaikat malaikat dekat allah enggan sembah nya sombong allah kumpul nya
4,173,iman buat amal saleh allah sempurna pahala tambah karunia nya enggan sombong allah siksa siksa pedih oleh lindung tolong allah
4,174,manusia kepada bukti benar tuhan muhammad mukjizat turun kepada cahaya terang benderang al quran
4,175,iman allah pegang teguh agama nya allah masuk rahmat nya surga limpah karunia nya jalan lurus nya
4,176,fatwa kepada kala allah fatwa kepada kala tinggal dunia anak saudara perempuan saudara perempuan dua harta tinggal saudara laki laki pusaka harta saudara perempuan anak saudara perempuan tiga harta tinggal tinggal ahli waris saudara saudara laki perempuan bahagian saudara laki laki bahagian saudara perempuan allah terang hukum kepada sesat allah
5,1,iman penuh aqad aqad halal bagi binatang ternak kecuali baca kepada halal buru haji allah tetap hukum hukum hendak nya
5,2,iman langgar syiar syiar allah langgar hormat haram ganggu binatang binatang had ya binatang binatang qalaa id ganggu unjung baitullah cari kurnia keridhaan tuhan selesai ibadah haji buru kali benci kaum halang halang masjidilharam dorong buat aniaya tolong tolong kebaji takwa tolong tolong buat dosa langgar takwa allah allah berat siksa nya
5,3,haram bagi makan bangkai darah daging babi daging hewan sembelih nama allah cekik pukul jatuh tanduk terkam binatang buas kecuali sembelih haram bagi sembelih berhala haram undi nasib anak panah undi nasib anak panah fasik kafir putus asa kalah agama takut takut ku sempurna agama ku cukup kepada nikmat ku ku ridhai islam agama bagi paksa lapar sengaja buat dosa allah kam sayang
5,4,kepada halal halal bagi buru tangkap binatang buas ajar latih nya buru ajar ajar allah kepada makan tangkap untuk nama allah binatang buas lepas takwa allah allah cepat hisab nya
5,5,halal bagi makan sembelih al kitab halal bagi makan halal halal mangawini wanita jaga hormat wanita wanita iman wanita wanita jaga hormat al kitab bayar mas kawin maksud nikah maksud zina jadi gundik gundik kafir iman terima hukum hukum islam hapus amal kiamat rugi
5,6,iman shalat basuh muka tangan siku sapu kepala basuh kaki mata kaki junub mandi sakit jalan buang air kakus sentuh perempuan oleh air bertayammumlah tanah bersih sapu muka tangan tanah allah sulit bersih sempurna nikmat nya bagi syukur
5,7,ingat karunia allah kepada janji nya ikat nya taat takwa allah allah isi hati
5,8,iman tegak benar allah saksi adil kali benci kaum dorong laku adil laku adil adil takwa takwa allah allah kerja
5,9,allah janji iman amal saleh ampun pahala
5,10,kafir dusta ayat ayat huni neraka
5,11,iman ingat nikmat allah nya kepada kaum gerak tangan kepada buat jahat allah tahan tangan takwa allah allah mukmin bertawakkal
5,12,allah ambil janji bani israil angkat pimpin allah firman serta diri shalat tunai zakat iman rasul rasul ku bantu pinjam allah pinjam tutup dosa dosa masuk surga alir air dalam sungai sungai kafir antara sesat jalan lurus
5,13,langgar janji kutuk jadi hati keras batu suka rubah kata allah tempat sengaja lupa ingat dengan muhammad senantiasa khianat kecuali khianat maaf biar allah suka buat
5,14,nasrani janji sengaja lupa ingat dengan timbul musuh benci kiamat kelak allah berita kerja
5,15,ahli kitab kepada rasul kepada isi al kitab biar kepada cahaya allah kitab terang
5,16,kitab allah ikut keridhaan nya jalan selamat kitab allah keluar gelap gulita cahaya terang benderang izin nya jalan lurus
5,17,kafir allah al putera maryam gerangan halang halang hendak allah binasa al putera maryam serta ibu bumi semua punya allah raja langit bumi cipta hendak nya allah kuasa
5,18,yahudi nasrani anak anak allah kasih kasih nya allah siksa dosa dosa anak anak allah kasih kasih nya manusiabiasa cipta nya ampun hendak nya siksa hendak nya punya allah raja allah
5,19,ahli kitab rasul syariat kepada putus kirim rasul rasul bawa berita gembira beri ingat kepada bawa berita gembira beri ingat allah kuasa
5,20,ingat musa kaum kaum ingat nikmat allah atas angkat nabi nabi antara jadi nya merdeka nya kepada nya orang umat umat
5,21,kaum masuk tanah suci palestina tentu allah bagi lari belakang takut musuh rugi
5,22,musa negeri gagah perkasa kali masuk daripada daripada masuk
5,23,kata takut allah allah nikmat serbu pintu gerbang kota masuk menang allah bertawakkal iman
5,24,musa masuk selagi dalam pergi tuhan rang dua duduk
5,25,musa ya tuhan kuasa kecuali diri saudara pisah fasik
5,26,allah firman negeri haram puluh putar putar bingung bumi padang tiih sedih hati pikir nasib fasik
5,27,cerita kisah putera adam habil qabil sembah korban terima salah dua habil terima qabil qabil bunuh habil allah terima korban takwa
5,28,gerak tangan kepada bunuh kali gerak tangan kepada bunuh takut allah tuhan seru alam
5,29,bawa dosa bunuh dosa huni neraka balas zalim
5,30,hawa nafsu qabil jadi anggap mudah bunuh saudara bunuh rugi
5,31,allah suruh ekor burung gagak gali gali bumi qabil kubur mayat saudara qabil aduhai celaka buat burung gagak kubur mayat saudara sesal
5,32,tetap hukum bani israil bunuh manusia bunuh rusa muka bumi akan bunuh manusia pelihara hidup manusia olah pelihara hidup manusia rasul rasul bawa terang terang lampau batas buat rusa muka bumi
5,33,balas rang allah rasul nya rusa bumi bunuh salib potong tangan kaki timbal buang negeri diam hina dunia akhirat oleh siksa
5,34,kecuali taubat kuasa tangkap tahu allah kam sayang
5,35,iman takwa allah cari jalan dekat nya jihad jalan nya untung
5,36,kafir bumi tebus azab kiamat tebus terima oleh azab pedih
5,37,neraka kali daripada oleh azab kekal
5,38,laki laki curi perempuan curi potong tangan balas kerja siksa allah allah perkasa bijaksana
5,39,taubat curi curi jahat baik allah terima taubat allah kam sayang
5,40,allah raja langit bumi siksa nya hendak nya ampun nya hendak nya allah kuasa
5,41,rasul sedih segera kafir mulut iman hati iman yahudi yahudi suka dengar berita berita bohong suka dengar kata kata kepada rubah kata kata taurat tempat rubah rubah terima hati hati allah sesat kali tolak sesuatu allah allah suci hati oleh hina dunia akhirat oleh siksa
5,42,suka dengar berita bohong makan haram yahudi kepada putus putus perkara paling paling mudharat kepada sedikit putus perkara putus perkara adil allah suka adil
5,43,angkat hakim taurat dalam hukum allah paling putus iman
5,44,turun kitab taurat dalam tunjuk cahaya rang kitab putus perkara yahudi nabi nabi serah allah alim pendeta pendeta sebab perintah pelihara kitab kitab allah saksi takut manusia takut ku tukar ayat ayat ku harga putus turun allah kafir
5,45,tetap dalam at taurat jiwa balas jiwa mata mata hidung hidung telinga telinga gigi gigi luka luka qishaashnya lepas hak qishaashnya lepas hak tebus dosa bagi putus perkara turun allah zalim
5,46,iring jejak nabi nabi bani israil isa putera maryam benar kitab taurat kitab injil dalam tunjuk cahaya rang benar kitab kitab taurat tunjuk ajar takwa
5,47,ikut injil putus perkara turun allah dalam putus perkara turun allah fasik
5,48,turun kepada al quran bawa benar benar kitab kitab turun batu uji kitab kitab putus perkara allah turun ikut hawa nafsu tinggal benar kepada umat atur jalan terang allah jadi nya umat allah uji beri nya kepada lomba lomba buat kebaji allah diberitahukan nya kepada selisih
5,49,putus perkara turun allah ikut hawa nafsu hati hati maling turun allah kepada paling hukum turun allah tahu allah timpa mushibah sebab dosa dosa banyak manusia fasik
5,50,hukum jahiliyah hendak hukum hukum allah
5,51,iman ambil yahudi nasrani pimpin pimpin pimpin ambil pimpin golong allah tunjuk zalim
5,52,sakit hati munafik segera dekat yahudi nasrani seraya takut bencana mudah mudah allah menang rasul nya putus sisi nya sesal rahasia
5,53,iman sumpah nama allah serta rusak binasa amal rugi
5,54,iman murtad agama kelak allah kaum allah cinta mereka cinta nya sikap lemah lembut mukmin sikap keras kafir jihad jalan allah takut cela suka cela karunia allah nya hendak nya allah luas beri nya
5,55,tolong allah rasul nya iman diri shalat tunai zakat seraya tunduk allah
5,56,ambil allah rasul nya iman tolong ikut agama allah menang
5,57,iman ambil pimpin agama buah ejek main kitab belum kafir musyrik takwa allah iman
5,58,seru sembahyang jadi buah ejek main kaum akal
5,59,ahli kitab pandang salah lantar iman allah turun turun banyak fasik
5,60,berita kepada buruk balas fasik sisi allah tuk murka allah jadi kera babi sembah thaghut buruk tempat sesat jalan lurus
5,61,yahudi munafik kepada iman kepada kafir kafir allah sembunyi
5,62,banyak yahudi segera dosa musuh makan haram buruk kerja
5,63,alim pendeta pendeta larang kata bohong makan haram buruk kerja
5,64,yahudi tangan allah belenggu tangan belenggu laknat sebab tangan allah buka nafkah hendak al quran turun kepada tuhan tambah durhaka kafir banyak timbul musuh benci kiamat nyala api peperangan allah madam buat rusa muka bumi allah suka rusa
5,65,ahli kitab iman takwa tutup hapus salah salah masuk dalam surga surga penuh nikmat
5,66,jalan hukum taurat injil al quran turun tuhan makan kaki golong tengah buruk banyak
5,67,rasul sampai turun kepada tuhan kerja perintah amanat nya allah pelihara ganggu manusia allah tunjuk kafir
5,68,ahli kitab pandang agama sedikit tegak ajar ajar taurat injil al quran turun kepada tuhan turun kepada muhammad tuhan tambah durhaka kafir banyak sedih hati kafir
5,69,mukmin yahudi shabiin nasrani saleh khawatir sedih hati
5,70,ambil janji bani israil utus rasul rasul rasul bawa ingin hawa nafsu rasul rasul dusta bunuh
5,71,bencana bunuh nabi nabi buta pekak allah terima taubat banyak buta tuli allah kerja
5,72,kafir allah al putera maryam al bani israil sembah allah tuhan tuhan sekutu allah allah haram surga tempat neraka zalim tolong
5,73,kafir orangorang allah salah kali tuhan tuhan esa henti kafir timpa siksa pedih
5,74,taubat allah mohon ampun nya allah kam sayang
5,75,al putera maryam rasul rasul ibu dua makan makan perhati ahli kitab tanda tanda kuasa perhati paling perhati ayat ayat
5,76,sembah allah mudharat kepada manfaat allah dengar
5,77,ahli kitab lebih lebih lampau batas agama ikut hawa nafsu sesat dahulu datang muhammad sesat banyak manusia sesat jalan lurus
5,78,laknat kafir bani israil lisan daud isa putera maryam sebab durhaka lampau batas
5,79,larang tindak munkar buat buruk buat
5,80,banyak tolong tolong kafir musyrik buruk sedia murka allah kekal siksa
5,81,iman allah nabi musa turun nabi ambil musyrikin tolong tolong banyak fasik
5,82,dapat keras musuh iman yahudi musyrik dapat sahabat iman nasrani sebab nasrani pendeta pendeta rahib rahib menymbongkan
5,83,dengar turun rasul muhammad mata cucur air mata sebab benar al quran tahu kitab kitab seraya ya tuhan iman catat saksi benar al quran nabi muhammad s a w
5,84,iman allah benar tuhan masuk golong saleh
5,85,allah pahala kata ucap surga alir sungai sungai dalam kekal dalam balas buat baik ikhlas iman
5,86,kafir dusta ayat ayat huni neraka
5,87,iman haram allah halal lampau batas allah suka lampau batas
5,88,makan makan halal allah rezeki kepada takwa allah iman nya
5,89,allah hukum sebab sumpah sumpah sumpah hukum sebab sumpah sumpah sengaja kaffarat langgar sumpah makan puluh miskin makan keluarga pakai merdeka budak sanggup kaffaratnya puasa kaffarat sumpah sumpah sumpah langgar jaga sumpah allah terang kepada hukum hukum nya syukur nya
5,90,iman minum khamar judi korban berhala undi nasib panah buat syaitan jauh buat buat untung
5,91,syaitan timbul musuh benci lantar minum khamar judi halang allah sembahyang henti kerja
5,92,taat allah taat rasul nya hati hati paling tahu wajib rasul amanat allah terang
5,93,dosa iman amal saleh makan makan makan takwa iman amal amal saleh takwa iman takwa buat kebaji allah suka buat kebaji
5,94,iman allah uji binatang buru mudah tangan tombak allah takut nya biarpun nya langgar batas bagi azab pedih
5,95,iman bunuh binatang buru ihram bunuh sengaja denda ganti binatang ternak imbang buru bunuh putus adil had yad bawa kabah denda bayar kaffarat makan miskin puasa imbang makan keluar rasa akibat buruk buat allah maaf kerja allah siksa allah kuasa kuasa siksa
5,96,halal bagi binatang buru laut makan asal laut makan lezat bagi jalan haram atas tangkap binatang buru darat ihram takwa allah nya kumpul
5,97,allah jadi kabah rumah suci pusat ibadat urus dunia manusia haram had ya qalaid allah jadi allah langit bumi allah
5,98,tahu allah berat siksa nya allah kam sayang
5,99,wajib rasul allah lahir sembunyi
5,100,buruk banyak buruk tarik hati takwa allah akal untung
5,101,iman nabi terang kepada susah al quran turun terang kepada allah maaf allah kam santun
5,102,segolongsn manusia nabi percaya
5,103,allah kali syariat bahiirah saaibah washiilah haam kafir dusta allah banyak erti
5,104,mari ikut turun allah ikut rasul dapat kerja ikut nenek moyang nenek moyang tunjuk
5,105,iman jaga diri sesat mudharat kepada tunjuk allah terang kepada kerja
5,106,iman salah hadap mati wasiat wasiat saksi adil agama jalan muka bumi timpa bahaya mati tahan saksi sembahyang sumpah sumpah nama allah ragu ragu allah beli sumpah harga penting karib kerabat sembunyi saksi allah dosa
5,107,saksi dosa ahli waris hak tinggal maju tuntut ganti sumpah nama allah saksi labih layak terima saksi saksi langgar batas aniaya
5,108,jadi saksi muka saksi jadi takut kembali sumpah ahli waris sumpah takwa allah dengar perintah nya allah tunjuk fasik
5,109,ingat allah kumpul rasul allah kaum seru rasul tahu engkau perkara ghaib
5,110,ingat allah isa putra maryam ingat nikmat ku kepada ibu kuat ruhul qudus bicara manusia buai dewasa ingat ajar tulis hikmah taurat injil ingat waktu bentuk tanah bentuk burung ijin ku tiup bentuk burung izin ku ingat sembuh buta kandung sakit sopak izin ku ingat keluar mati kubur hidup izin ku ingat halang bani israil bunuh muka terang terang nyata kafir sihir nyata
5,111,ingat ilham ikut isa setia rim ku rasul ku iman saksi rasul patuh seru
5,112,ingat ikut ikut isa isa putera maryam sanggup tuhan turun hidang langit isa takwa allah iman
5,113,makan hidang tenteram hati saksi hidang
5,114,isa putera maryam doa ya tuhan turun hidang langit turun raya tanda kuasa engkau rzekilah engkau beri rezeki utama
5,115,allah firman turun hidang kepada kafir antara turun hidang siksa siksa timpa orang umat manusia
5,116,ingat allah firman isa putera maryam ada manusia jadi ibu tuhan allah isa suci engkau patut bagi hak engkau diri engkau engkau perkara ghaib ghaib
5,117,kecuali engkau perintah kepada sembah allah tuhan tuhan saksi engkau wafat engkau awas engkau saksi
5,118,engkau siksa engkau engkau ampun engkau perkasa bijaksana
5,119,allah firman manfaat benar surga bawah alir sungai sungai kekal dalam allah ridha nya untung
5,120,punya allah raja langit bumi dalam kuasa
6,1,puji allah cipta langit bumi ada gelap terang kafir sekutu tuhan
6,2,cipta tanah tentu ajal mati ajal sisi nya sendiri tahu ragu ragu bangkit
6,3,allah sembah langit bumi rahasia lahir usaha
6,4,ayat ayat ayat tuhan paling dusta
6,5,dusta haq al quran kelak nyata berita berita olok olok
6,6,perhati generasi generasi teguh duduk bumi teguh kepada curah hujan lebat jadi sungai sungai alir dosa cipta generasi
6,7,turun kepada tulis kertas sentuh tangan kafir sihir nyata
6,8,turun muhammad malaikat turun malaikat selesai urus tangguh sedikit
6,9,jadi rasul malaikat jadi laki laki jadi laki laki ragu ragu ragu ragu
6,10,olok olok rasul turun cemooh balas azab olok olok
6,11,jalan bumi perhati sudah dusta
6,12,punya langit bumi punya allah tetap nya kasih sayang himpun kiamat ragu ragu iman
6,13,punya allah malam siang dengar
6,14,jadi lindung allah jadi langit bumi makan makan perintah kali serah allah kali masuk golong musyrik
6,15,takut azab kiamat durhaka tuhan
6,16,jauh azab allah rahmat untung nyata
6,17,allah timpa kemudharatan kepada hilang baik kepada kuasa
6,18,kuasa nya bijaksana
6,19,kuat saksi allah saksi al quran wahyu kepada ingat kepada al quran aku tuhan tuhan samping allah aku tuhan esa lepas sekutu allah
6,20,kitab kenal muhammad kenal anak anak rugi iman allah
6,21,aniaya dusta allah dusta ayat ayat nya aniaya untung
6,22,ingat himpun musyrik mana sembah sembah sekutu sekutu
6,23,fitnah kecuali allah tuhan sekutu allah
6,24,lihat dusta hilang sembah sembah adakan
6,25,mendengarkani baca letak tutup hati paham letak sumbat telinga jika tanda benar iman kepada bantah kafir al quran dongeng
6,26,larang dengar al quran jauh daripada binasa sadar
6,27,muhammad hadap neraka kembali dunia dusta ayat ayat tuhan iman peristiwa haru
6,28,nyata jahat sembunyi kembali dunia larang kerja dusta belaka
6,29,hidup hidup dunia bangkit
6,30,anda hadap tuhan peristiwa haru firman allah bangkit tuhan firman allah rasa azab sebab ingkar
6,31,rugi dusta temu tuhan kiamat besar sesal lalai kiamat pikul dosa dosa punggung ingat buruk pikul
